block,word,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,item_type
block15,fastidio,CVC,CVC,jor,word,match,jor,fas,filler03
block15,secuela,CV,CVC,jor,word,mismatch,jor,sec,filler04
block15,pulgada,CVC,CVC,jor,word,match,jor,pul,filler05
block15,vistazo,CVC,CVC,jor,word,match,jor,vis,filler06
block15,taquilla,CV,CVC,jor,word,mismatch,jor,taq,filler07
block15,cizalla,CV,CVC,jor,word,mismatch,jor,ciz,filler08
block15,cilindro,CV,CVC,jor,word,mismatch,jor,cil,filler09
block16,murmullo,CVC,CVC,mur,word,match,mur,mur,critical
block16,ventana,CVC,CVC,mur,word,match,mur,ven,filler01
block16,donaire,CV,CVC,mur,word,mismatch,mur,don,filler02
block16,palmada,CVC,CVC,mur,word,match,mur,pal,filler03
block16,pandilla,CVC,CVC,mur,word,match,mur,pan,filler04
block16,bandera,CVC,CVC,mur,word,match,mur,ban,filler05
block16,visillo,CV,CVC,mur,word,mismatch,mur,vis,filler06
block16,salero,CV,CVC,mur,word,mismatch,mur,sal,filler07
block16,velorio,CV,CVC,mur,word,mismatch,mur,vel,filler08
block16,jaqueca,CV,CVC,mur,word,mismatch,mur,jaq,filler09
block17,cerida,CV,CV,ce,nonword,match,cer,cer,critical
block17,vofida,CV,CV,ce,nonword,match,cer,vof,filler01
block17,moncura,CVC,CV,ce,nonword,mismatch,cer,mon,filler02
block17,biñena,CV,CV,ce,nonword,match,cer,biñ,filler03
block17,dosmuente,CVC,CV,ce,nonword,mismatch,cer,dos,filler04
block17,lunino,CV,CV,ce,nonword,match,cer,lun,filler05
block17,tunsuja,CVC,CV,ce,nonword,mismatch,cer,tun,filler06
block17,noñita,CV,CV,ce,nonword,match,cer,noñ,filler07
block17,fampioza,CVC,CV,ce,nonword,mismatch,cer,fam,filler08
block17,tonvanza,CVC,CV,ce,nonword,mismatch,cer,ton,filler09
block18,garele,CV,CV,ga,nonword,match,gar,gar,critical
block18,tulvano,CVC,CV,ga,nonword,mismatch,gar,tul,filler01
block18,cicauco,CV,CV,ga,nonword,match,gar,cic,filler02
block18,dusnuente,CVC,CV,ga,nonword,mismatch,gar,dus,filler03
block18,numete,CV,CV,ga,nonword,match,gar,num,filler04
block18,tildona,CVC,CV,ga,nonword,mismatch,gar,til,filler05
block18,mufenza,CV,CV,ga,nonword,match,gar,muf,filler06
block18,cuntela,CVC,CV,ga,nonword,mismatch,gar,cun,filler07
block18,pembanse,CVC,CV,ga,nonword,mismatch,gar,pem,filler08
block18,sufiasa,CV,CV,ga,nonword,match,gar,suf,filler09
block19,joruma,CV,CV,jo,nonword,match,jor,jor,critical
block19,biluesa,CV,CV,jo,nonword,match,jor,bil,filler01
block19,cividra,CV,CV,jo,nonword,match,jor,civ,filler02
block19,gantarna,CVC,CV,jo,nonword,mismatch,jor,gan,filler03
block19,banzalla,CVC,CV,jo,nonword,mismatch,jor,ban,filler04
block19,piglillo,CVC,CV,jo,nonword,mismatch,jor,pig,filler05
block19,tinneza,CVC,CV,jo,nonword,mismatch,jor,tin,filler06
block19,fuzallo,CV,CV,jo,nonword,match,jor,fuz,filler07
block19,vendagio,CVC,CV,jo,nonword,mismatch,jor,ven,filler08
block19,bimina,CV,CV,jo,nonword,match,jor,bim,filler09
block20,murepla,CV,CV,mu,nonword,match,mur,mur,critical
block20,senena,CV,CV,mu,nonword,match,mur,sen,filler01
block20,viztura,CVC,CV,mu,nonword,mismatch,mur,viz,filler02
block20,cosdura,CVC,CV,mu,nonword,mismatch,mur,cos,filler03
block20,bipero,CV,CV,mu,nonword,match,mur,bip,filler04
block20,civicha,CV,CV,mu,nonword,match,mur,civ,filler05
block20,lastadia,CVC,CV,mu,nonword,mismatch,mur,las,filler06
block20,siquija,CV,CV,mu,nonword,match,mur,siq,filler07
block20,vintoble,CVC,CV,mu,nonword,mismatch,mur,vin,filler08
block20,caljero,CVC,CV,mu,nonword,mismatch,mur,cal,filler09
block21,cerliza,CVC,CV,ce,nonword,mismatch,cer,cer,critical
block21,vofida,CV,CV,ce,nonword,match,cer,vof,filler01
block21,moncura,CVC,CV,ce,nonword,mismatch,cer,mon,filler02
block21,biñena,CV,CV,ce,nonword,match,cer,biñ,filler03
block21,tovero,CV,CV,ce,nonword,match,cer,tov,filler04
block21,lunino,CV,CV,ce,nonword,match,cer,lun,filler05
block21,tunsuja,CVC,CV,ce,nonword,mismatch,cer,tun,filler06
block21,noñita,CV,CV,ce,nonword,match,cer,noñ,filler07
block21,fampioza,CVC,CV,ce,nonword,mismatch,cer,fam,filler08
block21,tonvanza,CVC,CV,ce,nonword,mismatch,cer,ton,filler09
block22,garventa,CVC,CV,ga,nonword,mismatch,gar,gar,critical
block22,tulvano,CVC,CV,ga,nonword,mismatch,gar,tul,filler01
block22,cicauco,CV,CV,ga,nonword,match,gar,cic,filler02
block22,nulese,CV,CV,ga,nonword,match,gar,nul,filler03
block22,numete,CV,CV,ga,nonword,match,gar,num,filler04
block22,tildona,CVC,CV,ga,nonword,mismatch,gar,til,filler05
block22,mufenza,CV,CV,ga,nonword,match,gar,muf,filler06
block22,cuntela,CVC,CV,ga,nonword,mismatch,gar,cun,filler07
block22,pembanse,CVC,CV,ga,nonword,mismatch,gar,pem,filler08
block22,sufiasa,CV,CV,ga,nonword,match,gar,suf,filler09
block23,jorteda,CVC,CV,jo,nonword,mismatch,jor,jor,critical
block23,biluesa,CV,CV,jo,nonword,match,jor,bil,filler01
block23,cividra,CV,CV,jo,nonword,match,jor,civ,filler02
block23,gantarna,CVC,CV,jo,nonword,mismatch,jor,gan,filler03
block23,bidena,CV,CV,jo,nonword,match,jor,bid,filler04
block23,piglillo,CVC,CV,jo,nonword,mismatch,jor,pig,filler05
block23,tinneza,CVC,CV,jo,nonword,mismatch,jor,tin,filler06
block23,fuzallo,CV,CV,jo,nonword,match,jor,fuz,filler07
block23,vendagio,CVC,CV,jo,nonword,mismatch,jor,ven,filler08
block23,bimina,CV,CV,jo,nonword,match,jor,bim,filler09
block24,murdallo,CVC,CV,mu,nonword,mismatch,mur,mur,critical
block24,senena,CV,CV,mu,nonword,match,mur,sen,filler01
block24,viztura,CVC,CV,mu,nonword,mismatch,mur,viz,filler02
block24,cosdura,CVC,CV,mu,nonword,mismatch,mur,cos,filler03
block24,bipero,CV,CV,mu,nonword,match,mur,bip,filler04
block24,civicha,CV,CV,mu,nonword,match,mur,civ,filler05
block24,lastadia,CVC,CV,mu,nonword,mismatch,mur,las,filler06
block24,siquija,CV,CV,mu,nonword,match,mur,siq,filler07
block24,codoro,CV,CV,mu,nonword,match,mur,cod,filler08
block24,caljero,CVC,CV,mu,nonword,mismatch,mur,cal,filler09
block25,cerida,CV,CVC,cer,nonword,mismatch,cer,cer,critical
block25,salfrabla,CVC,CVC,cer,nonword,match,cer,sal,filler01
block25,vangurdo,CVC,CVC,cer,nonword,match,cer,van,filler02
block25,gantina,CVC,CVC,cer,nonword,match,cer,gan,filler03
block25,nuseto,CV,CVC,cer,nonword,mismatch,cer,nus,filler04
block25,zaldizo,CVC,CVC,cer,nonword,match,cer,zal,filler05
block25,naverdo,CV,CVC,cer,nonword,mismatch,cer,nav,filler06
block25,tolina,CV,CVC,cer,nonword,mismatch,cer,tol,filler07
block25,tivencio,CV,CVC,cer,nonword,mismatch,cer,tiv,filler08
block25,lisbombre,CVC,CVC,cer,nonword,match,cer,lis,filler09
block26,garele,CV,CVC,gar,nonword,mismatch,gar,gar,critical
block26,dezida,CV,CVC,gar,nonword,mismatch,gar,dez,filler01
block26,dinona,CV,CVC,gar,nonword,mismatch,gar,din,filler02
block26,sentirro,CVC,CVC,gar,nonword,match,gar,sen,filler03
block26,puscalla,CVC,CVC,gar,nonword,match,gar,pus,filler04
block26,cicisa,CV,CVC,gar,nonword,mismatch,gar,cic,filler05
block26,binima,CV,CVC,gar,nonword,mismatch,gar,bin,filler06
block26,fensuale,CVC,CVC,gar,nonword,match,gar,fen,filler07
block26,suñuela,CV,CVC,gar,nonword,mismatch,gar,suñ,filler08
block26,punfullo,CVC,CVC,gar,nonword,match,gar,pun,filler09
block27,joruma,CV,CVC,jor,nonword,mismatch,jor,jor,critical
block27,balzalla,CVC,CVC,jor,nonword,match,jor,bal,filler01
block27,fimegra,CV,CVC,jor,nonword,mismatch,jor,fim,filler02
block27,dulcura,CVC,CVC,jor,nonword,match,jor,dul,filler03
block27,zuscura,CVC,CVC,jor,nonword,match,jor,zus,filler04
block27,nafiaca,CV,CVC,jor,nonword,mismatch,jor,naf,filler05
block27,binero,CV,CVC,jor,nonword,mismatch,jor,bin,filler06
