block,word,wd_int_syl,tar_syl,wd_status,matching,lemma,first_3,item_type,corrAns
block10,tocino,CV,CV,word,match,lin,toc,filler08,None
block10,dureza,CV,CV,word,match,lin,dur,filler09,None
block11,linaje,CV,CVC,word,mismatch,lin,lin,critical,1
block11,portillo,CVC,CVC,word,match,lin,por,filler01,None
block11,sobaco,CV,CVC,word,mismatch,lin,sob,filler02,None
block11,respuesta,CVC,CVC,word,match,lin,res,filler03,None
block11,garbanzo,CVC,CVC,word,match,lin,gar,filler04,None
block11,corneta,CVC,CVC,word,match,lin,cor,filler05,None
block11,pozuelo,CV,CVC,word,mismatch,lin,poz,filler06,None
block11,barcaza,CVC,CVC,word,match,lin,bar,filler07,None
block11,sureste,CV,CVC,word,mismatch,lin,sur,filler08,None
block11,torija,CV,CVC,word,mismatch,lin,tor,filler09,None
block12,linterna,CVC,CVC,word,match,lin,lin,critical,1
block12,portillo,CVC,CVC,word,match,lin,por,filler01,None
block12,sobaco,CV,CVC,word,mismatch,lin,sob,filler02,None
block12,respuesta,CVC,CVC,word,match,lin,res,filler03,None
block12,garbanzo,CVC,CVC,word,match,lin,gar,filler04,None
block12,soborno,CV,CVC,word,mismatch,lin,sob,filler05,None
block12,pozuelo,CV,CVC,word,mismatch,lin,poz,filler06,None
block12,barcaza,CVC,CVC,word,match,lin,bar,filler07,None
block12,sureste,CV,CVC,word,mismatch,lin,sur,filler08,None
block12,torija,CV,CVC,word,mismatch,lin,tor,filler09,None
block13,linele,CV,CV,nonword,match,lin,lin,critical,1
block13,parvida,CVC,CV,nonword,mismatch,lin,par,filler01,None
block13,sociare,CV,CV,nonword,match,lin,soc,filler02,None
block13,decanro,CV,CV,nonword,match,lin,dec,filler03,None
block13,taviño,CV,CV,nonword,match,lin,tav,filler04,None
block13,pospana,CVC,CV,nonword,mismatch,lin,pos,filler05,None
block13,poscallo,CVC,CV,nonword,mismatch,lin,pos,filler06,None
block13,tornanga,CVC,CV,nonword,mismatch,lin,tor,filler07,None
block13,tusorto,CV,CV,nonword,match,lin,tus,filler08,None
block13,tercega,CVC,CV,nonword,mismatch,lin,ter,filler09,None
block14,linlirna,CVC,CV,nonword,mismatch,lin,lin,critical,1
block14,parvida,CVC,CV,nonword,mismatch,lin,par,filler01,None
block14,sociare,CV,CV,nonword,match,lin,soc,filler02,None
block14,decanro,CV,CV,nonword,match,lin,dec,filler03,None
block14,taviño,CV,CV,nonword,match,lin,tav,filler04,None
block14,pospana,CVC,CV,nonword,mismatch,lin,pos,filler05,None
block14,poscallo,CVC,CV,nonword,mismatch,lin,pos,filler06,None
block14,gerotio,CV,CV,nonword,match,lin,ger,filler07,None
block14,tusorto,CV,CV,nonword,match,lin,tus,filler08,None
block14,tercega,CVC,CV,nonword,mismatch,lin,ter,filler09,None
block15,linele,CV,CVC,nonword,mismatch,lin,lin,critical,1
block15,jagito,CV,CVC,nonword,mismatch,lin,jag,filler01,None
block15,parsida,CVC,CVC,nonword,match,lin,par,filler02,None
block15,ducoste,CV,CVC,nonword,mismatch,lin,duc,filler03,None
block15,cortupto,CVC,CVC,nonword,match,lin,cor,filler04,None
block15,tosaba,CV,CVC,nonword,mismatch,lin,tos,filler05,None
block15,suseña,CV,CVC,nonword,mismatch,lin,sus,filler06,None
block15,meptrona,CVC,CVC,nonword,match,lin,mep,filler07,None
block15,deroda,CV,CVC,nonword,mismatch,lin,der,filler08,None
block15,sutnido,CVC,CVC,nonword,match,lin,sut,filler09,None
block16,linlirna,CVC,CVC,nonword,match,lin,lin,critical,1
block16,jagito,CV,CVC,nonword,mismatch,lin,jag,filler01,None
block16,parsida,CVC,CVC,nonword,match,lin,par,filler02,None
block16,ducoste,CV,CVC,nonword,mismatch,lin,duc,filler03,None
block16,cortupto,CVC,CVC,nonword,match,lin,cor,filler04,None
block16,tosaba,CV,CVC,nonword,mismatch,lin,tos,filler05,None
block16,suseña,CV,CVC,nonword,mismatch,lin,sus,filler06,None
block16,meptrona,CVC,CVC,nonword,match,lin,mep,filler07,None
block16,deroda,CV,CVC,nonword,mismatch,lin,der,filler08,None
