"Word","Match","Nonword","Nonword_Concat","Rand"
"pa-ra-do","sa-sa-da","sasada","sasada","0.5143296526493059"
"pa-ra-do","sa-si-do","sasido","sasido","0.8697664095113689"
"re-sa-ca","de-ci-ca","decica","decica","0.547893368734551"
"re-sa-ca","de-ca-sa","decasa","decasa","0.19793018128570183"
"re-sa-ca","de-ri-ca","derica","derica","0.6507981710503372"
"re-sa-ca","de-ra-sa","derasa","derasa","0.9843414555488216"
"re-sa-ca","de-da-sa","dedasa","dedasa","0.901553091867938"
"re-sa-ca","de-di-ca","dedica","dedica","0.48339500464999785"
"re-sa-ca","de-si-sa","desisa","desisa","0.46550320449563776"
"re-sa-ca","de-ma-sa","demasa","demasa","0.1310802027264193"
"re-sa-ca","de-mi-ca","demica","demica","0.6441876750197915"
"re-sa-ca","de-bi-ca","debica","debica","0.7377383736542666"
"sa-la-do","da-ri-do","darido","darido","0.22682303904651446"
"sa-la-do","ra-ri-do","rarido","rarido","0.038405665952124246"
"sa-la-do","ta-ci-do","tacido","tacido","0.8326562464890239"
"sa-la-do","ta-ra-da","tarada","tarada","0.6132337005431242"
"sa-la-do","ta-ri-do","tarido","tarido","0.9928299172744092"
"sa-la-do","ta-li-da","talida","talida","0.8757888625311181"
"sa-la-do","ta-sa-da","tasada","tasada","0.7106817805846409"
"sa-la-do","ta-si-do","tasido","tasido","0.8223160139826194"
"sa-la-do","ta-ma-da","tamada","tamada","0.6568821990799831"
"sa-la-do","ta-mi-do","tamido","tamido","0.6844557116462411"
"se-na-do","me-ci-do","mecido","mecido","0.6209966129549123"
"se-na-do","me-ri-do","merido","merido","0.3163952026176182"
"se-na-do","me-di-do","medido","medido","0.2620115238089391"
"se-na-do","me-si-do","mesido","mesido","0.42116177779979147"
"se-na-do","me-mi-do","memido","memido","0.5267613653160907"
"se-na-do","te-ci-do","tecido","tecido","0.7743695202724133"
"se-na-do","te-ca-da","tecada","tecada","0.2878472631199842"
"se-na-do","te-va-da","tevada","tevada","0.2708044386885068"
"se-na-do","te-vi-do","tevido","tevido","0.16210932043591997"
"se-na-do","te-ra-da","terada","terada","0.9355259281794349"
"ta-ma-ño","ta-si-bo","tasibo","tasibo","0.6003399554837805"
"ta-ma-ño","ta-si-vo","tasivo","tasivo","0.013998226750146947"
"ta-ma-ño","ta-ni-bo","tanibo","tanibo","0.4286399335672284"
"ta-ma-ño","ta-ni-vo","tanivo","tanivo","0.9647872479937339"
"ta-ma-ño","ta-si-po","tasipo","tasipo","0.8185319200983953"
"ta-ma-ño","ta-ni-po","tanipo","tanipo","0.4962596756993377"
"ta-ma-ño","ta-ci-po","tacipo","tacipo","0.58460744938199"
"ta-ma-ño","ta-ci-zo","tacizo","tacizo","0.8531897879739962"
"ta-ma-ño","ta-ci-fo","tacifo","tacifo","0.35919080205505105"
"ta-ma-ño","ta-ci-go","tacigo","tacigo","0.47766786251254134"
"va-si-ja","la-na-ja","lanaja","lanaja","0.6231698969324587"
"va-si-ja","la-ma-ja","lamaja","lamaja","0.7903126362566689"
"va-si-ja","va-na-ma","vanama","vanama","0.6875065829315601"
"va-si-ja","va-ma-ma","vamama","vamama","0.37559825907704925"
"va-si-ja","fa-sa-ma","fasama","fasama","0.026935694516750486"
"va-si-ja","fa-na-ja","fanaja","fanaja","0.85344924643709"
"va-si-ja","fa-ni-ma","fanima","fanima","0.31589455438276015"
"va-si-ja","fa-mi-ma","famima","famima","0.8917046200992703"
"va-si-ja","fa-ma-ja","famaja","famaja","0.940834208771919"
"va-si-ja","la-sa-ma","lasama","lasama","0.3975817281719404"
