,Word,transcription,corrAns,sylStruc,initialSylStress,wordStatus,source,freq_WPM,DerivedWord,Condition,counter,numRevealed,masking,Length,PrimeCalc,Prime,matching
67,carbón,kaɾ.ˈβõn,1,CVC,no,word,CarreirasPerea2002,7.235576923076922,,A,68.0,3.0,######,6.0,car###,car###,match
68,cortés,koɾ.ˈtes,1,CVC,no,word,CarreirasPerea2002,3.870192307692308,,A,69.0,3.0,######,6.0,cor###,cor###,match
69,desván,dɛs̬.ˈβãn,1,CVC,no,word,CarreirasPerea2002,1.4903846153846154,,A,70.0,3.0,######,6.0,des###,des###,match
70,bombón,bõm.ˈbõn,1,CVC,no,word,CarreirasPerea2002,5.0480769230769225,,A,71.0,2.0,######,6.0,bo####,bo####,mismatch
71,jazmín,xas̬.ˈmĩn,1,CVC,no,word,CarreirasPerea2002,1.0096153846153846,,A,72.0,2.0,######,6.0,ja####,ja####,mismatch
72,delfín,dɛl.ˈfĩn,1,CVC,no,word,CarreirasPerea2002,3.2932692307692313,,A,73.0,2.0,######,6.0,de####,de####,mismatch
73,halcón,al.ˈkõn,1,CVC,no,word,CarreirasPerea2002,6.1538461538461515,,A,74.0,2.0,######,6.0,ha####,ha####,mismatch
74,pastel,pas.ˈtɛl,1,CVC,no,word,CarreirasPerea2002,54.63942307692307,,A,75.0,2.0,######,6.0,pa####,pa####,mismatch
75,pulmón,pul.ˈmõn,1,CVC,no,word,CarreirasPerea2002,8.485576923076923,,A,76.0,2.0,######,6.0,pu####,pu####,mismatch
76,salmón,sal.ˈmõn,1,CVC,no,word,CarreirasPerea2002,7.8125,,A,77.0,2.0,######,6.0,sa####,sa####,mismatch
77,sultán,sul.ˈtãn,1,CVC,no,word,CarreirasPerea2002,2.067307692307692,,A,78.0,2.0,######,6.0,su####,su####,mismatch
78,textil,tɛks.ˈtil,1,CVC,no,word,CarreirasPerea2002,0.9615384615384616,,A,79.0,2.0,######,6.0,te####,te####,mismatch
79,volcán,bol.ˈkãn,1,CVC,no,word,CarreirasPerea2002,3.870192307692308,,A,80.0,2.0,######,6.0,vo####,vo####,mismatch
80,tevuno,te.ˈβu.no,4,CV,no,nonword,Wuggy,,se-gu-ro,A,81.0,3.0,######,6.0,tev###,tev###,mismatch
