tar_syl_str,wd_int_syl_str,partNum,wd_status,average
CVC,CV,5ef6c48340846d3c05b8236c,nonword,1078.9485714285715
CVC,CV,5ef930974bc6e0000848aff7,nonword,837.2157142857143
CVC,CV,5efc0a523b88f81bec18ea9b,nonword,940.8657142857143
CVC,CV,5efcbbdd231bde0af2edb847,nonword,809.5114285714286
CVC,CV,5efe8b80a22068390f4e70f6,nonword,703.1328571428571
CVC,CV,5efeb01f2e80083c611538ea,nonword,973.2114285714285
CVC,CVC,5a4eabd13646f90001741bbf,nonword,722.4133333333333
CVC,CVC,5a875d6cf1408d0001769479,nonword,756.0655555555555
CVC,CVC,5a910c8a6475f900019f8cbc,nonword,709.4722222222222
CVC,CVC,5b501a2ba0daa60001a336d4,nonword,834.4444444444445
CVC,CVC,5b5fdd52b36c3400014718b9,nonword,759.6666666666666
CVC,CVC,5bdf91dbb32fa800012ea282,nonword,779.2866666666666
CVC,CVC,5c2e48a2867f660001afd5f1,nonword,750.60625
CVC,CVC,5c47c2564a1fb4000136e14a,nonword,845.525
CVC,CVC,5c53e9b6b7cf140001d31e6a,nonword,800
CVC,CVC,5c90617326e3ed00019896a5,nonword,698.0966666666667
CVC,CVC,5cb025049495a600190e00f3,nonword,1016.8914285714285
CVC,CVC,5cb6bdcd029f810001b23cfe,nonword,827.1655555555556
CVC,CVC,5cbe45745973850015f7b090,nonword,688.7777777777778
CVC,CVC,5cccd9bee48e6700175286ca,nonword,864.3844444444444
CVC,CVC,5d1288956e2c7b0016bbd0f6,nonword,718.3111111111111
CVC,CVC,5d366eba9749cc00185c21fb,nonword,807.7744444444444
CVC,CVC,5d51fdfb910d9e00017e62db,nonword,1019.2922222222222
CVC,CVC,5d5496bdd84ebe0001f5fb20,nonword,901.9811111111111
CVC,CVC,5d58b26b5f36a80018f9975f,nonword,813.0444444444445
CVC,CVC,5dae5564baa8780015bc26a1,nonword,786.7488888888889
CVC,CVC,5e4877398af5eb310bc6f58f,nonword,840.7633333333333
CVC,CVC,5e522598d5aa4824b5829900,nonword,643.4822222222223
CVC,CVC,5e9010494d246b3095f0e5a0,nonword,769
CVC,CVC,5e9532e400703c8b14ab0e80,nonword,635.901111111111
CVC,CVC,5e9fe54e71ba9919c2d11b0e,nonword,671.75
CVC,CVC,5ea1bad6173fb70a0dd4b01d,nonword,669.69875
CVC,CVC,5eaeebe9db992b0488624216,nonword,669.1637499999999
CVC,CVC,5eb3966158efe7182e31ff92,nonword,670.4688888888888
CVC,CVC,5ebb2ee7b15eb00f0e3e2e71,nonword,651.6688888888889
CVC,CVC,5ebdf558e27afd134641d5dc,nonword,902.8885714285714
CVC,CVC,5ec1f0724553ff4e23b1f4ca,nonword,852.1666666666666
CVC,CVC,5ec354adf348311a5ee4019e,nonword,604.1177777777777
CVC,CVC,5ec3e5be68bbf2081da1eba2,nonword,873.0622222222222
CVC,CVC,5ec6a814c615390ad63cbf1f,nonword,635.8722222222223
CVC,CVC,5ec888262256df3457ab483b,nonword,593.03625
CVC,CVC,5edac57737984c7168bedc3b,nonword,740.8000000000001
CVC,CVC,5ef58e6bd195c21efd19b29a,nonword,664.2688888888889
CVC,CVC,5ef6821865a4f11673527f75,nonword,731.2314285714285
CVC,CVC,5ef6c48340846d3c05b8236c,nonword,1094.0977777777778
CVC,CVC,5ef930974bc6e0000848aff7,nonword,825.0222222222222
CVC,CVC,5efc0a523b88f81bec18ea9b,nonword,844.6988888888889
CVC,CVC,5efcbbdd231bde0af2edb847,nonword,809.0233333333333
CVC,CVC,5efe8b80a22068390f4e70f6,nonword,738.775
CVC,CVC,5efeb01f2e80083c611538ea,nonword,945.0871428571428
