tar_syl_str,wd_int_syl_str,partNum,wd_status,average
CVC,CVC,5c47c2564a1fb4000136e14a,word,887.1771428571428
CVC,CVC,5c53e9b6b7cf140001d31e6a,word,855.5
CVC,CVC,5c90617326e3ed00019896a5,word,797.33375
CVC,CVC,5cb025049495a600190e00f3,word,947.5157142857142
CVC,CVC,5cb6bdcd029f810001b23cfe,word,850.415
CVC,CVC,5cbe45745973850015f7b090,word,666.375
CVC,CVC,5cccd9bee48e6700175286ca,word,864.175
CVC,CVC,5d1288956e2c7b0016bbd0f6,word,720.02125
CVC,CVC,5d366eba9749cc00185c21fb,word,716.1271428571429
CVC,CVC,5d51fdfb910d9e00017e62db,word,978.8712499999999
CVC,CVC,5d5496bdd84ebe0001f5fb20,word,826.165
CVC,CVC,5d58b26b5f36a80018f9975f,word,709.4525
CVC,CVC,5dae5564baa8780015bc26a1,word,697.5525
CVC,CVC,5e4877398af5eb310bc6f58f,word,938.33
CVC,CVC,5e522598d5aa4824b5829900,word,745.7825
CVC,CVC,5e9010494d246b3095f0e5a0,word,935.375
CVC,CVC,5e9532e400703c8b14ab0e80,word,631.8571428571429
CVC,CVC,5e9fe54e71ba9919c2d11b0e,word,759.885
CVC,CVC,5ea1bad6173fb70a0dd4b01d,word,717.89
CVC,CVC,5eaeebe9db992b0488624216,word,825.1314285714286
CVC,CVC,5eb3966158efe7182e31ff92,word,729.76
CVC,CVC,5ebb2ee7b15eb00f0e3e2e71,word,590.4
CVC,CVC,5ebdf558e27afd134641d5dc,word,652.8824999999999
CVC,CVC,5ec1f0724553ff4e23b1f4ca,word,938.5714285714286
CVC,CVC,5ec354adf348311a5ee4019e,word,538
CVC,CVC,5ec3e5be68bbf2081da1eba2,word,818.48
CVC,CVC,5ec6a814c615390ad63cbf1f,word,715.2887499999999
CVC,CVC,5ec888262256df3457ab483b,word,678.2414285714285
CVC,CVC,5edac57737984c7168bedc3b,word,620.7414285714286
CVC,CVC,5ef58e6bd195c21efd19b29a,word,660.06
CVC,CVC,5ef6821865a4f11673527f75,word,887.1525
CVC,CVC,5ef6c48340846d3c05b8236c,word,1005.86625
CVC,CVC,5ef930974bc6e0000848aff7,word,840.7457142857143
CVC,CVC,5efc0a523b88f81bec18ea9b,word,845.9649999999999
CVC,CVC,5efcbbdd231bde0af2edb847,word,838.015
CVC,CVC,5efe8b80a22068390f4e70f6,word,784.16625
CVC,CVC,5efeb01f2e80083c611538ea,word,1021.845
