,age,gender,birthCountry,raisedCountry,placeResidence,education,houseLanguage,preferLanguage,partNum,date,expName,OS,session,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,segResp,segRespCorr,segRespRT,exp_pres_order,corrAns
367,23,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,inglés,inglés,5f0fba155449021c0b397571,2020-07-17_18h45.05.613,lemma_segmentation,Win32,5f12291ba02cfb15784378a0,block03,mortaja,CVC,CVC,bal,word,match,bal,mor,filler02,,1.0,,5.0,None
368,23,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,inglés,inglés,5f0fba155449021c0b397571,2020-07-17_18h45.05.613,lemma_segmentation,Win32,5f12291ba02cfb15784378a0,block03,vendaje,CVC,CVC,bal,word,match,bal,ven,filler05,,1.0,,6.0,None
369,23,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,inglés,inglés,5f0fba155449021c0b397571,2020-07-17_18h45.05.613,lemma_segmentation,Win32,5f12291ba02cfb15784378a0,block03,remanso,CV,CVC,bal,word,mismatch,bal,rem,filler06,,1.0,,7.0,None
370,23,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,inglés,inglés,5f0fba155449021c0b397571,2020-07-17_18h45.05.613,lemma_segmentation,Win32,5f12291ba02cfb15784378a0,block03,punzada,CVC,CVC,bal,word,match,bal,pun,filler01,,1.0,,8.0,None
371,23,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,inglés,inglés,5f0fba155449021c0b397571,2020-07-17_18h45.05.613,lemma_segmentation,Win32,5f12291ba02cfb15784378a0,block03,fineza,CV,CVC,bal,word,mismatch,bal,fin,filler09,,1.0,,9.0,None
373,23,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,inglés,inglés,5f0fba155449021c0b397571,2020-07-17_18h45.05.613,lemma_segmentation,Win32,5f12291ba02cfb15784378a0,block38,bercillo,CVC,CVC,cam,nonword,match,cam,ber,filler04,,1.0,,0.0,None
374,23,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,inglés,inglés,5f0fba155449021c0b397571,2020-07-17_18h45.05.613,lemma_segmentation,Win32,5f12291ba02cfb15784378a0,block38,nencida,CVC,CVC,cam,nonword,match,cam,nen,filler02,,1.0,,1.0,None
375,23,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,inglés,inglés,5f0fba155449021c0b397571,2020-07-17_18h45.05.613,lemma_segmentation,Win32,5f12291ba02cfb15784378a0,block38,devillo,CV,CVC,cam,nonword,mismatch,cam,dev,filler01,,1.0,,2.0,None
376,23,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,inglés,inglés,5f0fba155449021c0b397571,2020-07-17_18h45.05.613,lemma_segmentation,Win32,5f12291ba02cfb15784378a0,block38,febago,CV,CVC,cam,nonword,mismatch,cam,feb,filler08,,1.0,,3.0,None
377,23,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,inglés,inglés,5f0fba155449021c0b397571,2020-07-17_18h45.05.613,lemma_segmentation,Win32,5f12291ba02cfb15784378a0,block38,foscillo,CVC,CVC,cam,nonword,match,cam,fos,filler07,,1.0,,4.0,None
378,23,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,inglés,inglés,5f0fba155449021c0b397571,2020-07-17_18h45.05.613,lemma_segmentation,Win32,5f12291ba02cfb15784378a0,block38,camofa,CV,CVC,cam,nonword,mismatch,cam,cam,critical,b,1.0,0.57657,5.0,b
379,23,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,inglés,inglés,5f0fba155449021c0b397571,2020-07-17_18h45.05.613,lemma_segmentation,Win32,5f12291ba02cfb15784378a0,block38,pirijuo,CV,CVC,cam,nonword,mismatch,cam,pir,filler03,,1.0,,6.0,None
380,23,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,inglés,inglés,5f0fba155449021c0b397571,2020-07-17_18h45.05.613,lemma_segmentation,Win32,5f12291ba02cfb15784378a0,block38,lercuente,CVC,CVC,cam,nonword,match,cam,ler,filler09,,1.0,,7.0,None
381,23,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,inglés,inglés,5f0fba155449021c0b397571,2020-07-17_18h45.05.613,lemma_segmentation,Win32,5f12291ba02cfb15784378a0,block38,voltura,CVC,CVC,cam,nonword,match,cam,vol,filler06,,1.0,,8.0,None
382,23,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,inglés,inglés,5f0fba155449021c0b397571,2020-07-17_18h45.05.613,lemma_segmentation,Win32,5f12291ba02cfb15784378a0,block38,penvalla,CVC,CVC,cam,nonword,match,cam,pen,filler05,,1.0,,9.0,None
384,23,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,inglés,inglés,5f0fba155449021c0b397571,2020-07-17_18h45.05.613,lemma_segmentation,Win32,5f12291ba02cfb15784378a0,block04,vergüenza,CVC,CVC,bal,word,match,bal,ver,filler04,,1.0,,0.0,None
385,23,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,inglés,inglés,5f0fba155449021c0b397571,2020-07-17_18h45.05.613,lemma_segmentation,Win32,5f12291ba02cfb15784378a0,block04,recodo,CV,CVC,bal,word,mismatch,bal,rec,filler07,,1.0,,1.0,None
386,23,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,inglés,inglés,5f0fba155449021c0b397571,2020-07-17_18h45.05.613,lemma_segmentation,Win32,5f12291ba02cfb15784378a0,block04,mortaja,CVC,CVC,bal,word,match,bal,mor,filler02,,1.0,,2.0,None
387,23,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,inglés,inglés,5f0fba155449021c0b397571,2020-07-17_18h45.05.613,lemma_segmentation,Win32,5f12291ba02cfb15784378a0,block04,rimero,CV,CVC,bal,word,mismatch,bal,rim,filler08,,1.0,,3.0,None
388,23,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,inglés,inglés,5f0fba155449021c0b397571,2020-07-17_18h45.05.613,lemma_segmentation,Win32,5f12291ba02cfb15784378a0,block04,baldosa,CVC,CVC,bal,word,match,bal,bal,critical,b,1.0,0.58537,4.0,b
389,23,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,inglés,inglés,5f0fba155449021c0b397571,2020-07-17_18h45.05.613,lemma_segmentation,Win32,5f12291ba02cfb15784378a0,block04,puntilla,CVC,CVC,bal,word,match,bal,pun,filler03,,1.0,,5.0,None
