,word,word_freq,word_initial_syl,In_SegExperiment,meaning,Notes,Delete
312,polvera,0.24038461538461536,CVC,0.0,powder compact,,Keep
313,polvillo,0.1923076923076923,CVC,8.0,blight,,Keep
314,pomada,1.1778846153846154,CV,8.0,ointment; cream,,Keep
315,pompeya,0.5288461538461539,CVC,0.0,Pompeii,,Keep
316,ponencia,0.07211538461538461,CV,4.0,report,,Keep
317,poniente,3.908,CV,4.0,west,poniente lex freq. is from LEXESP in NIM,Keep
318,poquillo,0.53,CV,0.0,a bit,poquillo lex freq. is from LEXESP in NIM,Keep
319,porfía,0.89,CVC,8.0,stubbornness,porfía lex freq. is from LEXESP in NIM,Keep
320,portazo,1.7067307692307692,CVC,8.0,slam,,Keep
321,portento,1.244,CVC,8.0,marvel; wonder,portento lex freq. is from LEXESP in NIM,Keep
322,portillo,0.888,CVC,8.0,gap,portillo lex freq. is from LEXESP in NIM,Keep
323,posdata,0.5288461538461539,CVC,0.0,postscript,,Keep
324,posguerra,0.8413461538461539,CVC,0.0,postwar,,Keep
325,postigo,1.599,CVC,8.0,shutter,postigo lex freq. is from LEXESP in NIM,Keep
326,postura,7.7163461538461515,CVC,0.0,posture,,Keep
327,potaje,0.89,CV,0.0,soup; stew,potaje lex freq. is from LEXESP in NIM,Keep
328,potasio,2.2355769230769234,CV,0.0,potassium,,Keep
329,pozuelo,1.0659999999999998,CV,8.0,bowl,pozuelo lex freq. is from LEXESP in NIM,Keep
330,puchero,0.2644230769230769,CVC,0.0,Stewpot,,Keep
331,pujanza,1.954,CV,4.0,strength; vigor,pujanza lex freq. is from LEXESP in NIM,Keep
332,pulgada,3.0769230769230766,CVC,8.0,inch,,Keep
333,pulsera,3.8942307692307687,CVC,8.0,bracelet,,Keep
334,puñado,7.7644230769230775,CV,0.0,handful,,Keep
335,puntero,0.6490384615384616,CVC,0.0,Pointer (laser),,Keep
336,puntilla,0.1923076923076923,CVC,8.0,lace edging,,Keep
337,punzada,0.5769230769230769,CVC,8.0,shooting pain,,Keep
338,pupila,0.9134615384615384,CV,2.0,pupil (eye),,Keep
339,pupitre,0.6971153846153846,CV,8.0,desk,,Keep
340,pureza,3.774038461538461,CV,8.0,purity,,Keep
341,putada,0.3846153846153846,CV,8.0,dirty trick,,Keep
342,rabieta,0.3125,CV,0.0,tantrum,,Keep
343,rabillo,0.4807692307692307,CV,8.0,stalk,,Keep
344,ramaje,1.24,CV,8.0,branches,ramaje lex freq. is from LEXESP in NIM,Keep
345,ranura,1.3942307692307692,CV,4.0,slot,,Keep
346,rapiña,0.3605769230769231,CV,8.0,robbery,,Keep
347,raqueta,1.7788461538461535,CV,0.0,racket,,Keep
348,rareza,1.4663461538461535,CV,0.0,rarity,,Keep
349,rasero,0.048076923076923066,CV,0.0,Strickle,,Keep
350,rasguño,4.663461538461538,CVC,8.0,scratch,,Keep
351,rastrillo,1.2980769230769231,CVC,8.0,rake,,Keep
352,rayuela,0.2644230769230769,CV,0.0,hopscotch,,Keep
353,rebato,0.71,CV,0.0,alarm,rebato lex freq. is from LEXESP in NIM,Keep
354,rebeca,0.6009615384615384,CV,0.0,cardigan,,Keep
355,rebujo,0.71,CV,0.0,tangle,rebujo lex freq. is from LEXESP in NIM,Keep
356,recado,4.543269230769232,CV,8.0,message (correspondence,,Keep
357,recargo,0.5769230769230769,CV,0.0,surcharge,,Keep
358,recato,3.375,CV,8.0,modesty,recato lex freq. is from LEXESP in NIM,Keep
359,recaudo,0.28846153846153844,CV,0.0,collection (financial),,Keep
360,receso,5.216346153846153,CV,0.0,recess,,Keep
361,recinto,2.1634615384615383,CV,4.0,enclosure,,Keep
362,recluso,1.4182692307692306,CVC,0.0,prisoner,,Keep
363,recodo,0.14423076923076922,CV,8.0,bend (geographical),,Keep
364,recurso,5.2644230769230775,CV,8.0,resource,,Keep
365,redada,3.5096153846153846,CV,8.0,raid,,Keep
366,reducto,4.086,CV,8.0,stronghold,reducto lex freq. is from LEXESP in NIM,Keep
367,reflujo,0.7692307692307692,CVC,0.0,ebb tide,,Keep
368,refresco,9.447115384615383,CVC,0.0,soda; drink,,Keep
369,refriega,0.5528846153846154,CVC,0.0,scuffle,,Keep
370,regata,0.7451923076923077,CV,8.0,boat race,,Keep
371,regate,1.421,CV,0.0,sidestep,regate lex freq. is from LEXESP in NIM,Keep
372,regato,0.5329999999999999,CV,8.0,brook,regato lex freq. is from LEXESP in NIM,Keep
373,regazo,3.0288461538461537,CV,4.0,lap,,Keep
374,reguero,0.14423076923076922,CV,8.0,trail; track,,Keep
375,regusto,2.13,CV,0.0,aftertaste,regusto lex freq. is from LEXESP in NIM,Keep
376,rejilla,2.043269230769231,CV,8.0,oven rack; storm grate,,Keep
377,relente,0.888,CV,8.0,dew,relente lex freq. is from LEXESP in NIM,Keep
378,reliquia,2.6201923076923075,CV,8.0,relic,,Keep
379,remanso,1.421,CV,8.0,haven; oasis,remanso lex freq. is from LEXESP in NIM,Keep
380,remesa,0.3846153846153846,CV,0.0,remittance,,Keep
381,remiendo,0.16826923076923075,CV,4.0,mend; patch,,Keep
382,rendija,0.28846153846153844,CVC,4.0,crack; crevice,,Keep
383,renombre,0.673076923076923,CV,4.0,renown; fame,,Keep
